"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","492.1","333.4","3813.5","27.5","11.2","118.1","585.9","11.5","4.1","370.6"
"","high","508.3","340.2","3949.5","30.0","9.0","125.0","610.0","12.5","4.0","396.0"
"","low","479.0","326.0","3704.0","26.0","13.0","113.0","567.0","10.0","4.2","370.6"
"Lamar Jackson","BAL","448.9","291.6","3651.5","28.3","9.6","118.7","640.3","3.2","4.2","324.8"
"","high","475.0","304.0","3885.6","33.0","8.0","127.0","670.8","3.7","4.0","362.0"
"","low","405.0","268.0","3365.0","26.0","11.0","107.0","604.0","3.0","4.3","322.5"
"Jayden Daniels","WAS","492.8","321.8","3677.0","23.8","11.0","130.0","685.4","4.7","2.8","322.2"
"","high","519.4","346.5","3846.1","26.0","9.9","140.0","745.0","5.1","2.0","353.0"
"","low","463.0","292.0","3415.0","22.3","12.0","119.0","642.0","4.0","3.7","317.5"
"Drake Maye","NE","496.1","340.7","3999.4","27.7","10.4","99.4","492.9","3.7","5.6","320.7"
"","high","519.3","355.1","4100.1","28.0","9.0","101.1","532.6","4.1","5.1","349.0"
"","low","475.0","326.0","3849.0","27.1","11.2","96.0","433.0","3.0","6.0","320.2"
"Jalen Hurts","PHI","488.0","316.8","3566.5","24.2","7.4","111.8","461.1","8.4","4.0","320.2"
"","high","499.1","327.4","3776.5","26.0","6.0","118.0","490.0","9.1","4.0","348.0"
"","low","471.0","302.0","3367.0","23.0","9.2","106.3","437.4","8.0","4.1","319.8"
"Joe Burrow","CIN","591.5","395.8","4174.9","33.3","11.6","48.2","178.5","1.4","1.9","310.8"
"","high","621.0","410.0","4266.0","34.0","10.0","61.0","188.6","2.1","1.0","350.0"
"","low","572.4","387.3","4128.0","32.9","14.0","32.0","165.0","1.0","2.9","304.3"
"Jaxson Dart","NYG","509.0","324.0","3586.3","22.3","11.0","100.9","549.3","6.5","2.9","309.6"
"","high","517.0","331.0","3678.8","26.0","9.0","103.0","564.0","7.0","2.0","346.0"
"","low","502.1","315.0","3510.0","20.0","14.0","99.0","531.0","6.0","3.7","299.5"
"Trevor Lawrence","JAC","545.7","336.1","3912.2","27.0","13.0","72.5","322.0","4.9","3.4","306.6"
"","high","560.0","347.4","3948.0","31.0","11.0","77.0","335.1","6.0","3.0","357.0"
"","low","536.0","326.0","3843.0","25.0","15.0","67.0","301.0","4.0","3.8","289.5"
"Brock Purdy","SF","547.5","369.6","4153.9","27.3","14.3","70.8","304.4","3.8","4.3","306.0"
"","high","558.0","380.0","4177.7","29.0","13.0","82.0","350.0","5.0","3.7","344.0"
"","low","529.6","351.7","4125.0","26.0","16.0","65.0","277.1","3.0","5.0","292.0"
