"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","274.8","1383.6","13.8","71.3","581.1","4.1","1.1","337.4"
"","high","283.4","1422.0","15.0","74.0","625.0","5.0","1.0","367.1"
"","low","262.0","1353.0","12.0","67.9","546.4","3.4","1.3","332.7"
"Bijan Robinson","ATL","285.2","1391.8","8.8","77.3","705.6","3.5","1.8","318.4"
"","high","289.0","1402.0","9.0","84.0","707.7","4.0","1.6","363.5"
"","low","280.0","1372.4","8.4","72.0","702.0","3.0","2.0","307.6"
"Christian McCaffrey","SF","269.7","1093.6","8.7","78.3","690.3","4.6","1.1","295.0"
"","high","279.0","1144.0","9.1","82.0","715.0","5.0","1.0","344.0"
"","low","256.0","1007.0","8.0","74.0","677.9","4.0","1.2","265.1"
"Jonathan Taylor","IND","326.9","1505.4","12.9","42.8","341.2","1.5","1.7","288.7"
"","high","356.0","1578.0","15.0","50.5","389.7","2.0","1.5","295.4"
"","low","299.0","1436.0","11.6","36.0","289.0","1.0","2.0","287.2"
"Derrick Henry","BAL","316.0","1577.2","13.4","18.1","175.0","0.7","1.7","265.8"
"","high","321.9","1655.0","15.0","21.4","210.0","1.2","1.5","268.1"
"","low","305.0","1504.7","12.0","16.0","144.0","0.0","2.0","260.7"
"De'Von Achane","MIA","238.4","1200.7","6.0","65.2","491.7","4.0","1.0","259.8"
"","high","258.1","1311.0","7.0","75.0","551.0","6.0","1.0","271.8"
"","low","228.0","1130.0","5.1","56.0","411.0","2.9","1.0","259.6"
"James Cook III","BUF","287.8","1405.7","10.3","33.3","283.5","1.9","2.4","254.1"
"","high","300.3","1436.0","11.0","35.9","302.4","2.0","1.8","275.9"
"","low","275.0","1377.0","9.0","32.0","273.0","1.6","3.0","230.7"
"Chase Brown","CIN","238.7","1037.0","7.8","63.8","427.7","4.0","1.1","246.6"
"","high","242.0","1066.0","9.0","72.0","471.0","5.0","1.0","269.7"
"","low","236.0","1009.0","7.0","55.0","377.0","2.9","1.2","239.3"
