"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","108.9","1068.0","6.8","0.2","201.4"
"","high","115.0","1132.0","8.0","0.0","253.4"
"","low","104.0","1022.9","5.3","0.5","188.4"
"Brock Bowers","LV","96.6","1021.8","7.5","0.2","195.3"
"","high","103.0","1088.0","9.0","0.0","250.6"
"","low","88.0","979.0","6.6","0.4","190.4"
"Colston Loveland","CHI","79.3","928.3","6.7","0.2","172.1"
"","high","84.0","1036.0","8.0","0.0","197.0"
"","low","73.0","848.0","6.0","0.4","165.7"
"Tyler Warren","IND","78.9","878.0","5.5","0.3","159.7"
"","high","84.6","905.0","6.0","0.0","192.0"
"","low","74.0","836.0","5.0","0.6","164.4"
"Harold Fannin Jr.","CLE","82.6","834.0","5.7","0.8","157.5"
"","high","87.0","876.0","9.0","0.6","189.9"
"","low","77.0","801.0","3.2","1.0","146.4"
"George Kittle","SF","71.0","802.2","6.3","0.2","153.1"
"","high","78.9","896.0","8.0","0.0","164.5"
"","low","57.0","655.0","5.0","0.4","156.2"
"Kyle Pitts Sr.","ATL","77.2","845.2","4.4","0.1","149.2"
"","high","80.5","857.6","6.0","0.0","186.2"
"","low","75.0","822.0","3.2","0.3","143.3"
"Sam LaPorta","DET","70.5","813.7","5.5","0.2","149.0"
"","high","78.4","909.0","6.0","0.0","170.2"
"","low","61.0","745.0","5.0","0.4","145.7"
"Dallas Goedert","PHI","65.5","688.8","7.6","0.2","146.6"
"","high","70.6","725.3","11.0","0.0","168.8"
"","low","58.0","625.0","5.7","0.4","139.1"
"Travis Kelce","KC","74.9","784.8","4.8","0.3","144.4"
"","high","78.0","813.0","6.0","0.0","175.1"
"","low","73.0","770.4","4.0","0.5","140.9"
"Tucker Kraft","GB","59.9","761.1","6.4","0.2","144.0"
"","high","67.7","780.0","10.0","0.0","160.9"
"","low","55.0","724.0","4.2","0.4","134.2"
"Mark Andrews","BAL","59.6","618.5","7.7","0.3","137.3"
"","high","61.0","645.0","10.0","0.0","160.8"
"","low","57.9","594.0","6.0","0.5","141.0"
"Isaiah Likely","NYG","63.7","744.7","5.0","1.3","133.9"
"","high","72.0","896.0","7.0","0.5","150.8"
"","low","56.0","656.0","4.0","2.0","123.9"
"Dalton Kincaid","BUF","57.1","706.6","5.5","0.2","131.6"
"","high","60.0","777.0","7.0","0.0","149.0"
"","low","52.0","645.0","4.4","0.5","124.8"
"Jake Ferguson","DAL","74.0","605.9","5.9","1.4","130.4"
"","high","78.0","635.0","7.0","0.8","161.0"
"","low","71.0","585.0","5.0","2.0","130.0"
"Hunter Henry","NE","55.5","651.1","5.4","0.1","125.2"
"","high","56.0","700.0","6.0","0.0","147.7"
"","low","55.0","624.0","5.0","0.2","122.4"
"Juwan Johnson","NO","64.7","730.3","3.3","1.3","122.4"
"","high","71.0","871.0","4.0","0.6","148.0"
"","low","60.0","643.9","2.8","2.0","112.6"
"Brenton Strange","JAC","60.0","661.3","4.3","0.2","121.8"
"","high","70.0","814.0","5.0","0.0","136.6"
"","low","51.0","571.0","4.0","0.4","113.5"
"Dalton Schultz","HOU","65.9","626.0","3.4","0.2","115.4"
"","high","71.0","683.0","4.0","0.0","149.0"
"","low","59.7","549.0","3.0","0.4","106.2"
"T.J. Hockenson","MIN","64.1","574.6","3.3","0.2","108.8"
"","high","78.2","639.7","4.0","0.0","136.3"
"","low","55.0","516.0","2.9","0.3","100.0"
"Pat Freiermuth","PIT","53.0","559.9","4.3","0.2","107.6"
"","high","59.9","602.7","5.0","0.0","139.6"
"","low","46.0","511.0","2.8","0.5","100.5"
"Greg Dulcich","MIA","54.5","620.7","3.2","1.2","106.2"
"","high","58.0","674.0","4.0","0.4","138.9"
"","low","51.6","582.1","1.6","2.0","94.7"
"Terrance Ferguson","LAR","39.0","532.5","5.1","0.2","103.2"
"","high","46.0","578.5","5.4","0.0","119.5"
"","low","29.0","490.0","5.0","0.3","95.5"
"Cade Otton","TB","54.8","557.1","3.1","0.1","101.4"
"","high","67.0","706.0","4.0","0.0","124.4"
"","low","44.5","440.2","2.3","0.3","85.0"
"Kenyon Sadiq","NYJ","49.0","537.9","4.0","0.7","100.8"
"","high","61.0","630.6","6.0","0.4","111.7"
"","low","39.0","455.0","2.0","1.0","101.5"
"AJ Barner","SEA","48.6","469.2","4.9","0.2","100.0"
"","high","54.0","504.0","7.0","0.0","125.7"
"","low","44.7","432.6","3.6","0.5","93.3"
"Chig Okonkwo","WAS","52.4","568.9","2.8","0.1","99.5"
"","high","54.0","628.0","3.0","0.0","123.1"
"","low","51.3","519.0","2.3","0.3","96.0"
"Darren Waller","CAR","43.3","446.2","4.7","0.1","94.1"
"","high","46.0","472.7","6.0","0.0","105.9"
"","low","41.0","397.0","4.0","0.2","93.2"
"Evan Engram","DEN","53.4","475.5","2.7","0.1","90.3"
"","high","57.0","484.0","3.0","0.0","121.6"
"","low","47.3","464.4","2.2","0.3","83.7"
"Gunnar Helm","TEN","48.9","444.0","3.1","0.2","87.1"
"","high","57.7","498.9","3.3","0.0","110.5"
"","low","44.0","378.0","3.0","0.4","72.5"
"David Njoku","LAC","42.3","396.6","4.3","0.1","86.3"
"","high","45.0","416.7","6.0","0.0","98.5"
"","low","39.9","369.0","3.0","0.3","85.6"
"Mike Gesicki","CIN","41.4","434.3","3.6","0.1","85.4"
"","high","49.0","540.0","4.0","0.0","111.2"
"","low","32.2","313.0","3.0","0.2","74.3"
"Oronde Gadsden II","LAC","37.8","474.9","2.8","0.6","82.2"
"","high","49.0","689.0","3.0","0.2","95.9"
"","low","30.3","321.7","2.5","1.0","65.9"
"Mason Taylor","NYJ","46.2","406.0","2.5","0.1","78.2"
"","high","56.0","481.0","4.0","0.0","108.2"
"","low","32.5","276.1","1.4","0.2","58.9"
"Colby Parkinson","LAR","33.4","342.2","4.0","0.6","73.8"
"","high","41.0","435.0","6.0","0.3","85.7"
"","low","28.1","290.7","3.0","1.0","64.0"
"Michael Mayer","LV","40.0","376.3","2.1","0.1","70.0"
"","high","43.0","420.0","3.0","0.0","101.5"
"","low","37.0","345.0","1.3","0.3","59.0"
"Dawson Knox","BUF","28.7","331.4","2.9","0.1","64.9"
"","high","35.0","400.0","3.0","0.0","78.2"
"","low","25.0","265.2","2.8","0.1","57.6"
"Theo Johnson","NYG","28.1","313.3","2.9","0.1","62.4"
"","high","35.0","389.0","5.0","0.0","74.0"
"","low","24.0","268.8","1.6","0.1","50.3"
"Darnell Washington","PIT","30.7","329.0","2.0","0.6","58.7"
"","high","35.0","383.0","2.0","0.3","70.2"
"","low","26.0","299.0","1.9","1.0","55.3"
"Tyler Higbee","LAR","25.1","296.3","2.4","0.0","56.6"
"","high","40.0","499.0","4.0","0.0","77.6"
"","low","15.3","154.0","1.3","0.1","35.3"
"Cole Kmet","CHI","26.3","274.3","2.2","0.1","53.8"
"","high","35.0","374.0","3.0","0.0","86.0"
"","low","21.9","219.9","1.7","0.1","40.1"
"Erick All Jr.","CIN","30.5","268.2","1.9","0.1","53.5"
"","high","35.0","301.0","2.0","0.0","49.8"
"","low","25.9","235.3","1.9","0.2","48.2"
"Noah Fant","NO","29.3","274.4","1.6","1.6","48.6"
"","high","44.0","423.0","2.0","0.1","65.7"
"","low","16.9","145.1","0.8","3.0","33.8"
"Will Kacmarek","MIA","26.5","251.0","1.9","0.6","48.5"
"","high","35.0","327.0","3.0","0.1","53.3"
"","low","18.1","175.0","0.7","1.0","35.1"
"Elijah Arroyo","SEA","23.5","240.1","1.9","0.2","46.6"
"","high","24.1","264.2","2.0","0.2","56.9"
"","low","23.0","216.0","1.7","0.2","48.3"
"Charlie Kolar","LAC","20.2","230.3","2.0","0.1","45.3"
"","high","25.0","333.0","4.0","0.0","58.1"
"","low","14.7","148.8","1.0","0.1","31.6"
"Jonnu Smith","GB","22.2","201.4","2.0","0.1","43.2"
"","high","28.0","252.0","3.0","0.0","54.1"
"","low","16.3","150.9","1.1","0.2","34.2"
"Brock Wright","DET","20.9","187.6","2.3","0.0","43.0"
"","high","34.0","303.0","4.0","0.0","55.4"
"","low","7.7","72.2","0.6","0.0","21.3"
"Josh Oliver","MIN","18.6","194.0","2.4","0.1","42.8"
"","high","22.0","243.0","4.0","0.0","49.3"
"","low","16.8","150.9","1.1","0.1","31.1"
"Daniel Bellinger","TEN","19.3","222.2","1.8","0.0","42.3"
"","high","26.0","332.0","3.0","0.0","51.7"
"","low","12.7","112.5","0.5","0.1","23.7"
"Adam Trautman","DEN","21.3","216.2","1.6","0.1","42.0"
"","high","27.0","281.0","2.0","0.0","41.6"
"","low","15.6","151.5","1.3","0.1","33.5"
"Austin Hooper","ATL","21.9","225.4","1.3","0.1","41.0"
"","high","23.0","250.0","2.0","0.0","58.4"
"","low","20.6","181.2","0.8","0.1","32.9"
"Eli Raridon","NE","20.7","214.6","1.7","0.6","40.8"
"","high","22.0","240.0","2.0","0.1","37.4"
"","low","19.4","189.2","1.4","1.0","36.4"
"Tommy Tremble","CAR","21.1","197.8","1.8","0.1","40.8"
"","high","23.0","215.0","2.0","0.0","55.1"
"","low","18.4","176.3","1.3","0.1","34.6"
"Noah Gray","KC","21.0","211.7","1.5","0.1","40.4"
"","high","26.1","262.1","2.0","0.0","56.9"
"","low","15.0","139.0","1.0","0.1","22.5"
"Eli Stowers","PHI","20.9","214.4","1.4","0.6","39.1"
"","high","31.0","322.0","2.0","0.1","42.4"
"","low","10.8","106.8","0.8","1.0","28.7"
"Davis Allen","LAR","16.9","157.2","1.9","0.0","35.3"
"","high","26.0","241.0","3.0","0.0","42.5"
"","low","7.8","73.4","0.7","0.1","20.1"
"Ben Sims","MIA","19.5","184.8","1.2","0.0","35.1"
"","high","32.0","304.0","2.0","0.0","42.7"
"","low","7.0","65.5","0.3","0.1","18.2"
"Ja'Tavion Sanders","CAR","22.2","178.1","1.0","0.1","35.0"
"","high","25.0","192.0","1.1","0.0","33.9"
"","low","19.5","164.1","1.0","0.1","29.1"
"Elijah Higgins","ARI","21.9","201.0","0.8","0.6","35.0"
"","high","23.0","220.0","1.0","0.2","33.0"
"","low","20.9","182.0","0.7","1.0","28.0"
"Marlin Klein","HOU","19.5","192.4","1.1","0.5","34.6"
"","high","35.0","349.0","2.0","0.0","46.7"
"","low","4.0","35.8","0.2","1.0","14.7"
"John Bates","WAS","17.1","169.3","1.6","0.6","33.8"
"","high","20.0","203.0","2.0","0.1","30.5"
"","low","14.1","135.6","1.2","1.0","29.0"
"Jeremy Ruckert","NYJ","19.7","146.3","1.3","0.0","32.0"
"","high","27.0","196.0","2.0","0.0","33.9"
"","low","12.4","96.5","0.5","0.1","22.8"
"Drew Sample","CIN","17.3","146.4","1.2","0.1","30.0"
"","high","17.3","146.4","1.2","0.1","30.1"
"","low","17.3","146.4","1.2","0.1","30.1"
"Luke Musgrave","GB","16.3","157.7","1.0","0.0","29.9"
"","high","26.0","254.0","2.0","0.0","47.6"
"","low","0.0","0.0","0.0","0.0","8.2"
"Nate Boerkircher","JAC","14.9","156.8","1.3","0.5","29.8"
"","high","22.0","240.0","2.0","0.1","33.5"
"","low","7.8","73.6","0.6","1.0","18.1"
"Connor Heyward","LV","14.0","102.0","2.0","0.0","29.2"
"","high","14.0","102.0","2.0","0.0","30.0"
"","low","14.0","102.0","2.0","0.0","30.0"
"Jake Tonges","SF","14.8","146.6","1.2","0.0","29.2"
"","high","25.0","265.0","2.0","0.0","58.4"
"","low","7.4","73.8","0.6","0.1","17.4"
"Nate Adkins","DEN","11.9","88.4","1.8","0.0","25.8"
"","high","16.0","108.0","3.0","0.0","28.0"
"","low","7.8","68.7","0.7","0.1","16.8"
"Cade Stover","HOU","15.3","127.3","0.9","0.1","25.5"
"","high","15.5","132.6","1.0","0.0","26.8"
"","low","15.0","122.0","0.8","0.1","19.6"
"Jackson Hawes","BUF","10.6","115.1","1.4","0.0","25.4"
"","high","11.1","120.0","2.0","0.0","22.3"
"","low","10.0","110.2","0.9","0.1","21.6"
"Ben Sinnott","WAS","11.1","114.3","1.4","0.0","25.3"
"","high","11.1","122.0","2.0","0.0","22.5"
"","low","11.0","106.6","0.8","0.1","21.0"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","24.8"
"","high","13.0","123.0","1.0","0.0","17.5"
"","low","13.0","123.0","1.0","0.0","17.5"
"Luke Schoonmaker","DAL","13.2","121.5","0.9","0.0","24.4"
"","high","15.0","133.0","1.0","0.0","22.9"
"","low","11.4","110.0","0.9","0.1","17.6"
"Will Mallory","IND","11.0","125.0","1.0","0.0","24.0"
"","high","11.0","125.0","1.0","0.0","16.5"
"","low","11.0","125.0","1.0","0.0","16.5"
"Grant Calcaterra","PHI","11.0","115.0","1.0","0.0","23.0"
"","high","22.0","230.0","2.0","0.0","32.5"
"","low","0.0","0.0","0.0","0.0","5.5"
"Foster Moreau","HOU","9.3","105.2","1.3","0.0","22.9"
"","high","11.0","132.0","2.0","0.0","21.7"
"","low","7.7","78.3","0.6","0.1","16.0"
"Bauer Sharp","TB","11.0","113.0","1.0","0.0","22.8"
"","high","11.0","113.0","1.0","0.0","15.5"
"","low","11.0","113.0","1.0","0.0","15.5"
"Tanner Hudson","CIN","13.1","110.3","0.9","0.1","22.7"
"","high","13.1","110.3","0.9","0.1","22.9"
"","low","13.1","110.3","0.9","0.1","22.9"
"Mo Alie-Cox","IND","10.6","113.7","0.9","0.1","22.1"
"","high","10.6","113.7","0.9","0.1","22.2"
"","low","10.6","113.7","0.9","0.1","22.2"
"Charlie Woerner","ATL","13.5","114.4","0.6","0.0","21.7"
"","high","23.0","196.0","1.0","0.0","24.7"
"","low","3.9","32.7","0.2","0.0","11.0"
"Thomas Fidone II","NYG","10.0","101.0","1.0","0.0","21.1"
"","high","10.0","101.0","1.0","0.0","15.0"
"","low","10.0","101.0","1.0","0.0","15.0"
"Drake Dabney","GB","10.0","94.0","1.0","0.0","20.4"
"","high","10.0","94.0","1.0","0.0","15.0"
"","low","10.0","94.0","1.0","0.0","15.0"
"Durham Smythe","BAL","9.8","93.9","0.7","0.1","18.6"
"","high","9.8","93.9","0.7","0.1","18.6"
"","low","9.8","93.9","0.7","0.1","18.6"
"Mitchell Evans","CAR","8.0","71.5","1.0","0.0","17.2"
"","high","16.0","143.0","2.0","0.0","22.0"
"","low","0.0","0.0","0.0","0.0","4.0"
"Max Klare","LAR","7.5","82.5","0.7","0.0","16.1"
"","high","11.0","127.0","1.0","0.0","14.8"
"","low","4.0","38.1","0.4","0.0","9.7"
"Brevyn Spann-Ford","DAL","7.4","71.4","0.7","0.0","14.8"
"","high","11.0","106.0","1.0","0.0","13.7"
"","low","3.9","36.7","0.3","0.0","9.3"
"Tanner Koziol","JAC","7.0","73.8","0.6","0.0","14.7"
"","high","10.0","111.0","1.0","0.0","13.5"
"","low","3.9","36.7","0.3","0.0","8.8"
"Payne Durham","TB","7.2","70.5","0.6","0.1","14.3"
"","high","7.2","70.5","0.6","0.1","14.5"
"","low","7.2","70.5","0.6","0.1","14.5"
"Oscar Delp","NO","7.8","74.0","0.5","0.1","14.1"
"","high","7.8","74.0","0.5","0.1","14.1"
