"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1539.0","9.0","12.9","85.0","1.3","1.0","281.0"
"","high","117.0","1539.0","9.0","15.0","85.0","2.0","0.9","285.0"
"","low","117.0","1539.0","9.0","10.0","85.0","1.0","1.0","278.9"
"Ja'Marr Chase","CIN","121.2","1511.6","10.6","3.0","17.0","0.0","1.0","275.3"
"","high","128.0","1551.0","11.0","4.0","20.9","0.1","0.9","333.1"
"","low","116.0","1474.0","10.0","2.0","11.0","0.0","1.0","267.6"
"Jaxon Smith-Njigba","SEA","110.9","1567.9","9.5","5.5","30.4","0.1","1.1","270.5"
"","high","116.7","1614.0","12.0","7.0","36.0","0.2","1.0","311.0"
"","low","105.0","1521.0","8.0","4.6","25.2","0.0","1.2","265.4"
"Amon-Ra St. Brown","DET","117.4","1391.1","10.5","3.1","11.8","0.0","0.4","261.3"
"","high","119.0","1426.2","11.0","4.0","14.0","0.1","0.0","317.3"
"","low","115.0","1370.0","10.0","2.3","8.0","0.0","0.8","253.7"
"Drake London","ATL","98.4","1272.9","8.8","0.0","0.0","0.0","1.0","227.1"
"","high","102.1","1312.0","12.0","0.0","0.0","0.0","0.9","271.9"
"","low","94.0","1249.7","7.0","0.0","0.0","0.0","1.0","216.9"
"CeeDee Lamb","DAL","97.5","1295.1","7.5","2.4","12.6","0.0","0.3","224.2"
"","high","103.5","1375.2","8.6","5.0","25.0","0.1","0.0","257.9"
"","low","87.0","1177.0","6.0","0.0","0.0","0.0","0.7","209.7"
"Justin Jefferson","MIN","99.2","1309.8","7.1","1.3","5.6","0.0","0.3","223.5"
"","high","111.5","1373.5","7.4","2.0","10.7","0.1","0.0","267.9"
"","low","91.0","1268.0","7.0","0.0","0.0","0.0","0.7","209.6"
"Rashee Rice","KC","96.5","1069.5","9.6","5.4","25.6","0.9","0.6","219.2"
"","high","104.0","1081.6","13.0","8.3","42.8","2.0","0.0","244.4"
"","low","92.5","1050.0","7.0","0.0","0.0","0.0","1.1","215.0"
"Chris Olave","NO","95.8","1195.3","7.9","0.3","0.0","0.0","0.3","214.0"
"","high","99.0","1243.0","10.0","1.0","0.0","0.0","0.0","253.1"
"","low","91.4","1147.0","6.6","0.0","0.0","0.0","0.6","206.7"
"A.J. Brown","NE","87.6","1232.6","7.7","0.0","0.0","0.0","0.3","212.6"
"","high","91.0","1326.0","9.0","0.0","0.0","0.0","0.0","244.3"
"","low","85.8","1155.0","7.0","0.0","0.0","0.0","0.6","207.2"
"George Pickens","DAL","82.5","1199.8","8.4","0.3","0.0","0.0","0.4","210.7"
"","high","94.0","1386.0","10.0","1.0","0.0","0.0","0.0","232.3"
"","low","74.0","1102.0","7.0","0.0","0.0","0.0","0.9","200.2"
"Nico Collins","HOU","82.6","1204.4","7.3","1.4","8.3","0.4","0.8","206.6"
"","high","86.8","1231.0","8.0","2.1","13.0","1.0","0.7","241.4"
"","low","79.0","1186.0","6.8","0.0","0.0","0.0","1.0","202.8"
"Zay Flowers","BAL","81.2","1157.0","6.5","9.9","58.8","0.5","1.5","201.1"
"","high","83.0","1184.0","8.0","10.0","60.0","1.0","1.0","233.7"
"","low","79.0","1117.0","5.5","9.8","57.3","0.0","2.0","197.4"
"Malik Nabers","NYG","82.2","1081.8","8.4","2.8","8.3","0.1","0.4","200.2"
"","high","85.6","1133.5","11.0","4.5","23.0","0.2","0.0","231.3"
"","low","80.0","1035.0","7.0","0.0","0.0","0.0","0.8","200.5"
"Garrett Wilson","NYJ","96.4","1094.8","6.4","1.1","4.3","0.0","1.0","194.7"
"","high","100.1","1173.5","9.0","2.2","10.8","0.1","1.0","243.7"
"","low","89.0","956.0","5.0","0.0","0.0","0.0","1.1","187.2"
"Tetairoa McMillan","CAR","81.1","1145.8","6.6","0.0","0.0","0.0","0.9","193.1"
"","high","83.3","1182.3","8.0","0.0","0.0","0.0","0.8","223.6"
"","low","78.0","1081.0","5.9","0.0","0.0","0.0","1.0","193.4"
"DeVonta Smith","PHI","87.8","1134.4","6.0","0.0","0.0","0.0","0.3","192.8"
"","high","90.5","1152.0","6.0","0.0","0.0","0.0","0.0","233.6"
"","low","83.0","1122.0","6.0","0.0","0.0","0.0","0.6","185.9"
"Emeka Egbuka","TB","73.2","1097.2","7.5","1.4","7.3","0.0","0.3","191.6"
"","high","78.0","1126.7","8.0","2.2","11.9","0.1","0.0","222.2"
"","low","69.6","1046.0","7.0","0.0","0.0","0.0","0.6","187.6"
"Davante Adams","LAR","68.9","924.8","10.2","0.0","0.0","0.0","0.2","187.8"
"","high","70.0","1013.5","10.6","0.0","0.0","0.0","0.0","220.5"
"","low","67.6","850.0","10.0","0.0","0.0","0.0","0.4","172.4"
"Tee Higgins","CIN","70.7","965.5","9.1","0.0","0.0","0.0","0.2","186.3"
"","high","74.0","1034.0","11.0","0.0","0.0","0.0","0.0","206.5"
"","low","65.0","906.0","8.0","0.0","0.0","0.0","0.4","181.4"
"Jameson Williams","DET","64.4","1065.5","6.6","7.3","42.0","0.5","0.2","185.1"
"","high","66.0","1088.0","7.0","8.0","45.1","1.0","0.0","220.2"
"","low","63.0","1026.4","5.7","7.0","39.0","0.0","0.4","176.5"
"Ladd McConkey","LAC","79.2","1009.7","6.8","0.0","0.0","0.0","0.3","180.6"
"","high","82.0","1039.2","8.0","0.0","0.0","0.0","0.0","209.2"
"","low","76.0","956.0","6.0","0.0","0.0","0.0","0.6","181.0"
"Terry McLaurin","WAS","68.7","971.4","7.4","0.3","0.3","0.0","0.3","175.0"
"","high","77.0","1052.3","10.0","1.0","1.0","0.0","0.0","196.5"
"","low","64.0","925.0","6.0","0.0","0.0","0.0","0.6","175.7"
"Rome Odunze","CHI","62.6","964.9","7.8","0.3","1.3","0.0","0.3","174.1"
"","high","65.0","1033.8","8.4","1.0","4.0","0.0","0.0","200.3"
"","low","59.9","916.0","7.0","0.0","0.0","0.0","0.6","162.3"
"DJ Moore","BUF","69.4","904.9","7.0","10.3","54.0","0.5","0.8","173.8"
"","high","71.0","955.0","8.0","16.0","81.0","1.0","0.6","206.2"
"","low","67.2","814.0","6.0","6.9","36.0","0.0","1.0","161.7"
"Jaylen Waddle","DEN","74.2","991.3","6.0","1.7","12.4","0.0","0.3","173.0"
"","high","76.5","994.0","6.0","3.0","25.0","0.1","0.0","207.8"
"","low","72.0","987.0","6.0","0.0","0.0","0.0","0.7","164.1"
"Luther Burden III","CHI","72.9","974.5","5.7","7.7","37.9","0.1","0.3","171.9"
"","high","75.8","1056.0","6.0","9.0","48.8","0.4","0.0","203.4"
"","low","70.0","926.0","5.1","6.0","32.0","0.0","0.7","167.5"
