"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","17.4","85.8","0.9","3.9","29.6","0.2","0.1","19.6"
"Bijan Robinson","ATL","RB2","17.8","82.8","0.5","4.3","37.0","0.2","0.1","18.1"
"Christian McCaffrey","SF","RB3","15.7","63.3","0.5","4.6","36.2","0.3","0.1","16.8"
"Puka Nacua","LAR","WR1","0.6","4.2","0.0","7.2","93.6","0.5","0.0","16.7"
"Ja'Marr Chase","CIN","WR2","0.2","1.1","0.0","6.9","88.2","0.7","0.0","16.5"
"Jonathan Taylor","IND","RB4","17.7","81.7","0.7","2.9","21.8","0.1","0.1","16.1"
"Jaxon Smith-Njigba","SEA","WR3","0.4","1.8","0.0","6.8","92.1","0.5","0.0","15.8"
"Amon-Ra St. Brown","DET","WR4","0.2","1.0","0.0","6.9","84.7","0.6","0.0","15.8"
"De'Von Achane","MIA","RB5","14.6","76.6","0.4","3.6","26.6","0.2","0.1","15.6"
"Derrick Henry","BAL","RB6","17.4","83.5","0.7","1.2","10.6","0.1","0.1","14.6"
"Omarion Hampton","LAC","RB7","15.1","68.2","0.6","3.2","20.7","0.1","0.1","14.5"
"Saquon Barkley","PHI","RB8","17.0","75.0","0.5","2.4","19.5","0.1","0.1","14.5"
"James Cook III","BUF","RB9","15.9","75.2","0.6","2.3","17.1","0.1","0.1","14.2"
"Chase Brown","CIN","RB10","13.9","59.2","0.4","3.9","25.3","0.2","0.1","14.1"
"CeeDee Lamb","DAL","WR5","0.2","0.9","0.0","6.0","80.5","0.5","0.0","14.0"
"Javonte Williams","DAL","RB11","16.8","76.1","0.6","2.3","12.6","0.1","0.1","14.0"
"Justin Jefferson","MIN","WR6","0.1","0.6","0.0","6.2","81.7","0.4","0.0","13.8"
"Nico Collins","HOU","WR7","0.1","0.9","0.0","5.3","78.5","0.5","0.0","13.5"
"Ashton Jeanty","LV","RB12","15.9","64.4","0.5","3.1","20.4","0.1","0.1","13.5"
"Kenneth Walker III","KC","RB13","15.7","66.9","0.5","2.7","20.0","0.1","0.1","13.3"
"Breece Hall","NYJ","RB14","15.4","67.6","0.4","2.5","21.2","0.1","0.1","13.2"
"Drake London","ATL","WR8","0.0","0.1","0.0","5.6","73.8","0.4","0.0","12.8"
"Kyren Williams","LAR","RB15","13.9","64.0","0.6","2.0","12.9","0.1","0.1","12.7"
"George Pickens","DAL","WR9","0.0","0.2","0.0","4.9","74.3","0.5","0.0","12.6"
"Zay Flowers","BAL","WR10","0.4","2.3","0.0","5.3","73.7","0.4","0.0","12.5"
"A.J. Brown","NE","WR11","0.0","0.1","0.0","5.2","72.4","0.4","0.0","12.4"
"Cam Skattebo","NYG","RB16","12.9","56.0","0.5","2.6","20.4","0.1","0.1","12.3"
"Chris Olave","NO","WR12","0.0","0.1","0.0","5.6","71.4","0.4","0.0","12.3"
"Travis Etienne Jr.","NO","RB17","14.4","61.3","0.3","2.7","20.7","0.1","0.1","12.1"
"Brock Bowers","LV","TE1","0.2","0.8","0.0","6.1","62.7","0.5","0.0","12.1"
"David Montgomery","HOU","RB18","13.9","60.9","0.6","1.9","13.6","0.1","0.1","12.1"
"DeVonta Smith","PHI","WR13","0.0","0.1","0.0","5.2","68.7","0.4","0.0","12.0"
"Tee Higgins","CIN","WR14","0.0","0.2","0.0","4.4","62.9","0.6","0.0","11.9"
"Tetairoa McMillan","CAR","WR15","0.0","0.2","0.0","4.7","70.3","0.4","0.0","11.8"
"Jeremiyah Love","ARI","RB19","11.8","51.6","0.3","3.2","23.6","0.1","0.1","11.7"
"D'Andre Swift","CHI","RB20","12.9","59.9","0.5","2.0","14.8","0.1","0.1","11.5"
"Malik Nabers","NYG","WR16","0.2","0.8","0.0","4.9","61.8","0.5","0.0","11.4"
"Trey McBride","ARI","TE2","0.0","0.0","0.0","6.3","61.3","0.4","0.0","11.4"
"Rashee Rice","KC","WR17","0.4","2.3","0.0","5.2","59.7","0.4","0.0","11.4"
"Jaylen Warren","PIT","RB21","11.6","53.9","0.3","2.8","21.0","0.1","0.0","11.3"
"Jaylen Waddle","DEN","WR18","0.1","0.9","0.0","4.8","64.6","0.4","0.0","11.1"
"Rico Dowdle","PIT","RB22","12.9","58.1","0.4","2.1","15.7","0.1","0.1","11.1"
"Bucky Irving","TB","RB23","13.3","55.5","0.4","2.2","17.8","0.1","0.1","11.1"
"Ladd McConkey","LAC","WR19","0.1","0.3","0.0","4.6","62.0","0.4","0.0","11.0"
"Quinshon Judkins","CLE","RB24","15.7","62.5","0.4","1.9","11.9","0.0","0.1","11.0"
"Garrett Wilson","NYJ","WR20","0.1","0.6","0.0","5.1","62.4","0.4","0.0","10.9"
"Davante Adams","LAR","WR21","0.0","0.0","0.0","3.9","55.5","0.5","0.0","10.8"
"MarShawn Lloyd","GB","RB25","13.0","52.4","0.5","1.9","12.5","0.1","0.1","10.6"
"Jameson Williams","DET","WR22","0.5","2.6","0.0","3.8","61.1","0.4","0.0","10.5"
"Bhayshul Tuten","JAC","RB26","12.7","51.2","0.4","1.9","13.6","0.1","0.1","10.5"
"Luther Burden III","CHI","WR23","0.5","2.7","0.0","4.5","59.1","0.3","0.0","10.5"
"Emeka Egbuka","TB","WR24","0.2","0.8","0.0","3.8","59.3","0.4","0.0","10.4"
"Christian Watson","GB","WR25","0.1","0.6","0.0","3.6","59.0","0.4","0.0","10.4"
"Colston Loveland","CHI","TE3","0.0","0.2","0.0","4.8","56.2","0.4","0.0","10.4"
"Terry McLaurin","WAS","WR26","0.0","0.1","0.0","4.4","60.1","0.4","0.0","10.3"
"Jadarian Price","SEA","RB27","13.3","55.3","0.5","1.3","10.6","0.1","0.1","10.3"
"Tyler Warren","IND","TE4","0.3","1.0","0.0","4.9","52.9","0.4","0.0","10.1"
"DK Metcalf","PIT","WR27","0.1","0.3","0.0","3.6","55.5","0.4","0.0","9.9"
"Rome Odunze","CHI","WR28","0.0","0.1","0.0","3.5","54.3","0.4","0.0","9.8"
"DJ Moore","BUF","WR29","0.4","2.0","0.0","3.9","52.6","0.4","0.0","9.7"
"Tony Pollard","TEN","RB28","12.2","54.1","0.3","1.7","10.9","0.1","0.1","9.6"
"Mike Evans","SF","WR30","0.0","0.0","0.0","3.7","53.5","0.4","0.0","9.5"
"Carnell Tate","TEN","WR31","0.0","0.2","0.0","4.0","55.9","0.3","0.0","9.5"
"Chuba Hubbard","CAR","RB29","11.4","47.4","0.3","2.0","13.4","0.1","0.1","9.5"
"Rhamondre Stevenson","NE","RB30","10.5","43.8","0.3","2.1","15.6","0.1","0.1","9.4"
"Parker Washington","JAC","WR32","0.5","1.9","0.0","3.7","52.1","0.4","0.0","9.4"
"Jayden Reed","GB","WR33","0.7","4.9","0.0","4.0","48.5","0.3","0.0","9.3"
"Jonathon Brooks","CAR","RB31","10.5","45.3","0.3","2.1","14.9","0.1","0.1","9.3"
"Josh Downs","IND","WR34","0.1","0.6","0.0","4.6","48.8","0.3","0.0","9.1"
"Michael Pittman Jr.","PIT","WR35","0.0","0.1","0.0","4.5","49.5","0.3","0.0","9.0"
"Quentin Johnston","LAC","WR36","0.2","0.8","0.0","3.3","47.9","0.4","0.0","9.0"
"Sam LaPorta","DET","TE5","0.0","0.2","0.0","4.4","46.9","0.3","0.0","9.0"
"TreVeyon Henderson","NE","RB32","9.4","41.2","0.3","2.1","13.0","0.1","0.0","8.9"
"Courtland Sutton","DEN","WR37","0.0","0.0","0.0","3.7","50.0","0.3","0.0","8.8"
"Marvin Harrison Jr.","ARI","WR38","0.0","0.0","0.0","3.5","51.9","0.3","0.0","8.7"
"Harold Fannin Jr.","CLE","TE6","0.3","0.9","0.0","4.6","46.2","0.3","0.0","8.7"
"Kenny Gainwell","TB","RB33","6.7","30.4","0.3","2.8","19.0","0.1","0.0","8.6"
"Blake Corum","LAR","RB34","10.4","48.6","0.4","0.9","5.5","0.1","0.0","8.6"
"Jalen Coker","CAR","WR39","0.0","0.2","0.0","3.9","48.9","0.3","0.0","8.6"
"Alec Pierce","IND","WR40","0.0","0.1","0.0","3.0","51.8","0.3","0.0","8.5"
"Jordan Addison","MIN","WR41","0.2","1.6","0.0","3.4","46.3","0.3","0.0","8.5"
"Michael Wilson","ARI","WR42","0.0","0.1","0.0","3.8","49.7","0.3","0.0","8.5"
"Kyle Pitts Sr.","ATL","TE7","0.0","0.0","0.0","4.4","48.2","0.2","0.0","8.4"
"Matthew Golden","GB","WR43","0.6","2.6","0.0","3.6","46.4","0.3","0.0","8.4"
"Mark Andrews","BAL","TE8","0.4","1.7","0.0","3.7","38.9","0.4","0.0","8.4"
"Brian Thomas Jr.","JAC","WR44","0.2","1.2","0.0","3.2","47.8","0.3","0.0","8.3"
"Dallas Goedert","PHI","TE9","0.0","0.0","0.0","3.8","40.5","0.4","0.0","8.3"
"Chris Godwin Jr.","TB","WR45","0.0","0.2","0.0","3.9","45.9","0.3","0.0","8.2"
"Tucker Kraft","GB","TE10","0.1","0.2","0.0","3.7","45.1","0.3","0.0","8.2"
"Jakobi Meyers","JAC","WR46","0.3","1.5","0.0","3.7","44.5","0.3","0.0","8.2"
