"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Jalen Hurts","PHI","28.8","19.1","227.9","1.6","0.6","6.7","27.9","0.6","0.2","20.6"
"Josh Allen","BUF","31.0","20.1","228.3","1.5","0.7","6.2","29.1","0.5","0.2","19.9"
"Lamar Jackson","BAL","28.2","18.5","230.9","1.6","0.6","7.4","38.3","0.2","0.2","19.9"
"Jaxson Dart","NYG","31.2","19.9","226.2","1.5","0.7","5.9","31.0","0.4","0.2","19.5"
"Joe Burrow","CIN","35.3","23.8","262.8","2.1","0.7","2.7","9.3","0.1","0.2","19.3"
"Justin Herbert","LAC","30.8","20.5","242.5","1.8","0.7","4.6","22.2","0.2","0.2","18.8"
"Dak Prescott","DAL","34.5","22.7","258.9","1.8","0.7","2.7","10.2","0.1","0.2","18.2"
"Caleb Williams","CHI","33.3","20.2","237.9","1.6","0.6","4.2","21.4","0.1","0.2","18.0"
"Jayden Daniels","WAS","32.2","20.6","217.1","1.3","0.6","7.3","36.5","0.2","0.2","18.0"
"Drake Maye","NE","32.1","21.3","238.8","1.5","0.7","5.1","25.0","0.2","0.2","17.6"
"Matthew Stafford","LAR","32.9","21.0","250.3","2.0","0.6","1.4","2.3","0.0","0.2","17.3"
"Trevor Lawrence","JAC","32.0","19.8","224.6","1.5","0.7","4.4","18.5","0.3","0.2","17.3"
"Brock Purdy","SF","32.2","20.9","247.2","1.5","0.8","3.8","14.4","0.2","0.2","17.2"
"Bo Nix","DEN","34.9","22.2","231.2","1.5","0.7","4.4","18.3","0.2","0.2","17.2"
"Kyler Murray","MIN","32.4","21.5","221.1","1.3","0.7","5.2","28.6","0.2","0.2","17.2"
"Jared Goff","DET","33.3","22.2","259.1","1.8","0.6","1.6","3.3","0.0","0.2","17.1"
"Baker Mayfield","TB","32.0","20.8","231.2","1.6","0.8","3.2","16.9","0.1","0.2","16.8"
"Jordan Love","GB","32.6","21.0","242.5","1.6","0.7","3.1","11.7","0.1","0.2","16.7"
"Patrick Mahomes II","KC","33.1","21.0","232.3","1.5","0.7","3.0","15.6","0.1","0.2","16.6"
"Daniel Jones","IND","32.7","20.9","234.3","1.3","0.7","3.5","14.7","0.2","0.2","16.4"
"Malik Willis","MIA","27.9","18.6","201.3","1.0","0.6","6.9","34.1","0.3","0.2","16.4"
"Tyler Shough","NO","34.0","21.9","234.4","1.3","0.7","4.2","16.6","0.2","0.2","16.4"
"C.J. Stroud","HOU","32.8","21.1","237.4","1.5","0.7","3.0","13.0","0.1","0.2","16.3"
